"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","test_update_user_invalid_username[ampersand_in_username]","tests.API.User","Mon Sep 01 15:00:29 UTC 2025","passed","Mon Sep 01 15:00:29 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","10","test_update_user_invalid_new_password[maximum_password_length]","tests.API.User","Mon Sep 01 15:00:30 UTC 2025","passed","Mon Sep 01 15:00:30 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","25","test_update_user_missing_required_field","tests.API.User","Mon Sep 01 15:00:30 UTC 2025","passed","Mon Sep 01 15:00:30 UTC 2025","TestUpdateUserNegative","test_update_user","",""
"","11","test_update_user_invalid_email[ampersand_in_domain]","tests.API.User","Mon Sep 01 15:00:30 UTC 2025","passed","Mon Sep 01 15:00:30 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","551","test_update_user_valid_email[valid_dash_in_domain]","tests.API.User","Mon Sep 01 15:00:21 UTC 2025","passed","Mon Sep 01 15:00:21 UTC 2025","TestUpdateUserValidValidation","test_update_user","",""
"","9","test_create_user_invalid_passwords[Only numbers in the passwords]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
"","298","test_update_user_valid_current_password[password_with_at_symbol]","tests.API.User","Mon Sep 01 15:00:27 UTC 2025","passed","Mon Sep 01 15:00:27 UTC 2025","TestUpdateUserValidValidation","test_update_user","",""
"","33","test_login_user_valid_email[valid_numbers_in_local]","tests.API.User","Mon Sep 01 15:00:09 UTC 2025","passed","Mon Sep 01 15:00:09 UTC 2025","TestLoginUserValidValidation","test_login_user","",""
"","9","test_login_user_invalid_password[Bool in the password1]","tests.API.User","Mon Sep 01 15:00:10 UTC 2025","passed","Mon Sep 01 15:00:10 UTC 2025","TestLoginUserInvalidValidation","test_login_user","",""
"","31","test_update_user_after_user_delete_in_db","tests.API.User","Mon Sep 01 15:00:30 UTC 2025","passed","Mon Sep 01 15:00:30 UTC 2025","TestUpdateUserNegative","test_update_user","",""
"","11","test_update_user_invalid_current_password[maximum_password_length]","tests.API.User","Mon Sep 01 15:00:30 UTC 2025","passed","Mon Sep 01 15:00:30 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","10","test_update_user_invalid_new_password[Bool in the password0]","tests.API.User","Mon Sep 01 15:00:30 UTC 2025","passed","Mon Sep 01 15:00:30 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","25","test_login_user_valid_email[maximum_local_part_length]","tests.API.User","Mon Sep 01 15:00:09 UTC 2025","passed","Mon Sep 01 15:00:09 UTC 2025","TestLoginUserValidValidation","test_login_user","",""
"","11","test_update_user_invalid_current_password[None in the password]","tests.API.User","Mon Sep 01 15:00:30 UTC 2025","passed","Mon Sep 01 15:00:30 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","11","test_login_user_invalid_email[domain_too_long]","tests.API.User","Mon Sep 01 15:00:10 UTC 2025","passed","Mon Sep 01 15:00:10 UTC 2025","TestLoginUserInvalidValidation","test_login_user","",""
"","13","test_update_user_invalid_email[Invalid email3]","tests.API.User","Mon Sep 01 15:00:30 UTC 2025","passed","Mon Sep 01 15:00:30 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","21","test_create_user_valid_email[valid_numbers_in_local]","tests.API.User","Mon Sep 01 15:00:06 UTC 2025","passed","Mon Sep 01 15:00:06 UTC 2025","TestCreateUserValidValidation","test_create_user","",""
"","11","test_update_user_invalid_email[dollar_in_domain]","tests.API.User","Mon Sep 01 15:00:30 UTC 2025","passed","Mon Sep 01 15:00:30 UTC 2025","TestUpdateUserInvalidValidation","test_update_user","",""
"","10","test_create_user_invalid_passwords[Password length < 8]","tests.API.User","Mon Sep 01 15:00:07 UTC 2025","passed","Mon Sep 01 15:00:07 UTC 2025","TestCreateUserInvalidValidation","test_create_user","",""
